date,caserate7d100k
2021-01-06,472.59
2021-01-05,466.06
2021-01-04,455.72
2021-01-03,456.76
2021-01-02,441.65
2021-01-01,418.49
2020-12-31,397.81
2020-12-30,389.64
2020-12-29,386.35
2020-12-28,383.53
2020-12-27,384.92
2020-12-26,394.83
2020-12-25,410.58
2020-12-24,434.15
2020-12-23,447.55
2020-12-22,451.97
2020-12-21,452.3
2020-12-20,456.64
2020-12-19,454.96
2020-12-18,459.15
2020-12-17,462.08
2020-12-16,450.78
2020-12-15,444.75
2020-12-14,452.95
2020-12-13,448.62
2020-12-12,447.29
2020-12-11,444.39
2020-12-10,437.67
2020-12-09,440.4
2020-12-08,436.86
2020-12-07,426.19
2020-12-06,417.03
2020-12-05,405.95
2020-12-04,387.22
2020-12-03,369.21
2020-12-02,347.05
2020-12-01,342.57
2020-11-30,337.42
2020-11-29,339.49
2020-11-28,342.57
2020-11-27,351.55
2020-11-26,360.24
2020-11-25,374.04
2020-11-24,366.92
2020-11-23,364.51
2020-11-22,362.43
2020-11-21,358.99
2020-11-20,355.97
2020-11-19,350.95
2020-11-18,342.76
2020-11-17,337.4
2020-11-16,331.37
2020-11-15,322.96
2020-11-14,314.56
2020-11-13,304.1
2020-11-12,290.98
2020-11-11,279.08
2020-11-10,267.33
2020-11-09,252.69
2020-11-08,241.28
2020-11-07,229.97
2020-11-06,219.07
2020-11-05,208.14
2020-11-04,198.42
2020-11-03,189.39
2020-11-02,182.49
2020-11-01,177.21
2020-10-31,174.74
2020-10-30,169.65
2020-10-29,165.1
2020-10-28,160.12
2020-10-27,155.67
2020-10-26,150.55
2020-10-25,148.21
2020-10-24,143.07
2020-10-23,136.52
2020-10-22,132.46
2020-10-21,128.89
2020-10-20,125.2
2020-10-19,122.65
2020-10-18,119.02
2020-10-17,117.74
2020-10-16,117.52
2020-10-15,114.42
2020-10-14,112.17
2020-10-13,111.02
2020-10-12,108.43
2020-10-11,105.91
2020-10-10,103.15
2020-10-09,101.37
2020-10-08,98.95
2020-10-07,96.47
2020-10-06,93.99
2020-10-05,93.09
2020-10-04,92.34
2020-10-03,92.24
2020-10-02,90.71
2020-10-01,90.39
2020-09-30,90.06
2020-09-29,89.05
2020-09-28,92.38
2020-09-27,93.15
2020-09-26,92.83
2020-09-25,92.72
2020-09-24,92.1
